age,league,weekly_wages
30,La Liga,85000
30,La Liga,30000
31,La Liga,200000
24,La Liga,100000
27,La Liga,70000
29,La Liga,100000
25,La Liga,85000
23,La Liga,75000
25,La Liga,90000
27,La Liga,200000
31,La Liga,180000
21,La Liga,20000
25,La Liga,70000
21,La Liga,75000
32,La Liga,365000
28,La Liga,350000
29,La Liga,150000
26,La Liga,60000
20,La Liga,10000
25,EPL,290000
24,EPL,250000
27,EPL,200000
29,EPL,175000
29,EPL,160000
23,EPL,120000
29,EPL,120000
32,EPL,120000
28,EPL,115000
22,EPL,110000
28,EPL,110000
22,EPL,110000
30,EPL,90000
32,EPL,85000
23,EPL,80000
36,EPL,80000
28,EPL,75000
26,EPL,75000
25,EPL,75000
31,EPL,70000
28,EPL,70000
28,EPL,45000
20,EPL,20000
21,EPL,15000
21,EPL,10000
21,EPL,10000
25,La Liga,90000
28,La Liga,55000
30,La Liga,165000
33,La Liga,130000
23,La Liga,75000
21,La Liga,20000
24,La Liga,55500
28,La Liga,100000
23,La Liga,75000
27,La Liga,60000
27,La Liga,35000
29,La Liga,180000
29,La Liga,120000
22,La Liga,10000
33,La Liga,165000
29,La Liga,130000
30,La Liga,85000
24,La Liga,60000
25,La Liga,70000
24,La Liga,80000
23,La Liga,60000
23,La Liga,75000
30,La Liga,500000
30,La Liga,290000
23,La Liga,90000
31,Bundesliga,100000
29,Bundesliga,30000
25,Bundesliga,120000
23,Bundesliga,60000
28,Bundesliga,120000
31,Bundesliga,50000
19,Bundesliga,20000
19,Bundesliga,20000
28,Bundesliga,110000
28,Bundesliga,85000
21,Bundesliga,70000
30,Bundesliga,100000
19,Bundesliga,10000
19,Bundesliga,15000
22,Bundesliga,75000
34,Bundesliga,100000
33,Bundesliga,80000
26,Bundesliga,100000
27,Bundesliga,60000
18,Bundesliga,10000
23,Bundesliga,80000
30,Bundesliga,125000
21,Bundesliga,140000
29,Bundesliga,200000
27,Bundesliga,90000
21,Bundesliga,50000
29,EPL,220000
26,EPL,182000
29,EPL,180000
27,EPL,125000
27,EPL,120000
23,EPL,110000
33,EPL,100000
35,EPL,100000
24,EPL,100000
25,EPL,100000
28,EPL,90000
32,EPL,90000
33,EPL,90000
25,EPL,90000
26,EPL,90000
32,EPL,75000
32,EPL,70000
23,EPL,50000
25,EPL,50000
29,EPL,40000
21,EPL,30000
22,EPL,25000
22,EPL,20000
20,EPL,4000
20,EPL,2000
